    -1.905    -1.941     0.342
    -0.106     1.087    -0.049
    -0.944     1.925     0.281
     1.881    -1.945    -0.349
     0.385    -0.357     0.352
     1.481     1.373     0.196
    -1.327    -1.788     0.210
    -0.841    -1.279    -0.214
     0.643     1.458     0.068
    -0.626     0.690    -0.452
     0.191     1.852    -0.053
     1.378    -1.457     0.111
     0.279    -1.137     0.116
     1.384    -1.008     0.524
     1.459    -0.781     0.705
     0.280    -1.906    -0.091
     0.161    -0.399     0.148
    -0.533     0.689    -0.392
    -0.980     1.736     0.137
     1.405    -0.781     0.701
     1.984    -1.668    -0.089
     1.980     1.035     0.468
    -1.266     0.737    -0.706
     1.786     1.692    -0.118
    -1.486     0.445    -0.900
     0.432    -1.314     0.106
    -1.006    -0.750    -0.618
    -1.105     1.633     0.055
    -0.574    -1.865     0.158
     1.978     0.417     0.840
     0.371     1.934    -0.129
     0.745     0.904     0.419
    -0.685     1.468    -0.065
    -0.620    -0.235    -0.565
     0.507    -0.516     0.422
     1.894    -0.452     0.853
    -0.411     1.164    -0.158
    -0.701    -1.297    -0.174
    -1.165    -1.790     0.200
    -0.883    -1.200    -0.280
     1.493     0.429     0.907
    -0.734     1.585     0.009
    -0.588    -1.272    -0.163
     1.927     0.644     0.750
     1.341     0.723     0.730
     1.474    -0.188     0.978
    -0.507     0.880    -0.309
    -1.797    -0.331    -0.922
     0.827     1.753    -0.133
     0.109     1.889    -0.034
    -0.798    -1.794     0.158
    -0.277     0.854    -0.180
    -0.204    -0.963    -0.116
    -0.665    -0.614    -0.504
     1.761    -1.561     0.009
    -0.129     0.642    -0.103
     0.360    -1.200     0.127
    -0.569    -0.474    -0.479
     0.504    -1.649    -0.038
     1.371    -1.386     0.180
    -0.349    -0.509    -0.298
     1.813    -0.071     0.968
    -0.707     1.414    -0.102
    -1.880     1.270    -0.282
     1.094     1.968    -0.344
    -1.663    -1.586     0.015
     1.800    -0.502     0.854
    -0.183     0.967    -0.104
     1.370    -0.687     0.758
     1.742     1.379     0.188
    -1.440    -1.443    -0.127
     0.732    -1.667    -0.064
     1.504     0.035     0.997
    -0.503     0.386    -0.446
     0.882    -0.672     0.604
    -1.425     0.980    -0.551
     0.227     0.815     0.155
    -1.274     0.863    -0.622
    -0.265    -0.534    -0.225
    -1.371    -1.347    -0.217
     1.919    -0.622     0.764
    -1.020     0.063    -0.850
     0.767    -0.337     0.655
    -0.687     0.198    -0.622
    -0.926    -1.768     0.157
     1.929    -1.816    -0.227
     1.884    -1.826    -0.240
     0.502    -1.876    -0.145
     1.757     0.254     0.951
    -0.502     0.461    -0.431
     0.332     1.718    -0.048
     0.508    -0.300     0.465
     1.443    -0.383     0.920
    -1.150    -1.669     0.089
    -0.665    -1.306    -0.162
     1.565     0.052     0.999
     1.537     1.176     0.384
    -0.637     1.574     0.002
     0.512     0.088     0.488
    -0.121     0.028    -0.121
    -1.410     0.274    -0.950
     0.096    -1.124     0.042
     0.818    -1.006     0.390
    -0.510     0.281    -0.469
    -0.882    -0.193    -0.758
    -0.483    -1.790     0.101
    -0.356     0.533    -0.300
     1.145     1.648    -0.070
     0.740     1.516     0.037
     0.888     1.484     0.067
     0.792     1.079     0.336
     1.141     0.635     0.732
     0.911    -1.743    -0.135
     0.917    -1.579    -0.006
     0.446    -0.233     0.420
     0.264    -0.212     0.255
    -0.165    -1.569    -0.000
     0.247    -0.830     0.165
     0.414     1.054     0.199
    -0.999    -0.251    -0.814
     0.695     0.851     0.422
    -0.761    -0.906    -0.426
     0.187    -1.158     0.075
    -1.124     0.284    -0.866
     0.090     0.693     0.069
    -1.517     0.374    -0.930
    -1.037     1.733     0.139
     1.908    -0.848     0.624
    -0.110     1.494    -0.008
    -1.232     0.268    -0.909
     1.864     0.560     0.811
     0.615     0.758     0.419
     1.477    -1.909    -0.330
     0.379     0.325     0.350
     1.822     1.365     0.198
     1.739    -0.163     0.973
    -1.219     1.818     0.230
    -0.429    -0.833    -0.280
    -0.398    -0.480    -0.344
    -1.130    -0.752    -0.661
     0.222    -1.836    -0.058
     0.125     0.903     0.077
    -0.153     1.792     0.033
    -0.708    -1.818     0.159
     0.785     0.828     0.478
    -1.165    -1.800     0.209
    -0.647    -1.260    -0.184
     0.685    -0.784     0.448
     0.368     1.430     0.051
     0.565    -1.258     0.164
     0.812    -1.308     0.188
     1.985    -0.549     0.781
     1.303     1.436     0.130
     0.709    -1.876    -0.196
    -0.381     0.612    -0.304
    -0.236     1.967     0.090
     0.450    -0.161     0.429
    -1.371     1.555    -0.015
    -1.060     1.190    -0.324
     1.803     0.258     0.941
     0.078     1.122     0.034
     1.819     0.508     0.847
    -0.233    -1.571     0.000
     1.645     0.033     0.997
     1.471    -0.724     0.745
    -1.736     1.500    -0.070
     0.003    -1.284     0.001
    -1.964     0.419    -0.844
     0.957     1.797    -0.183
    -1.078     0.916    -0.537
     1.125    -0.304     0.861
    -1.849     1.696     0.120
     0.182    -0.334     0.171
    -0.191    -1.203    -0.068
    -0.679     1.004    -0.337
     1.545    -1.910    -0.332
    -0.366     0.579    -0.300
     0.096     1.405     0.016
    -0.535     1.058    -0.250
     0.332    -0.023     0.326
    -1.345     1.831     0.251
     0.901     1.260     0.240
     0.544     0.761     0.375
     0.541    -0.696     0.395
     0.997    -1.907    -0.277
     0.487    -0.971     0.264
    -1.874    -1.332    -0.226
     0.511     0.175     0.482
    -0.763     1.167    -0.272
    -1.153     1.117    -0.401
    -1.503    -0.988    -0.549
     1.684    -1.525     0.046
    -1.230     1.449    -0.114
     1.387     0.770     0.706
    -1.857    -0.531    -0.827
     0.140     0.359     0.130
     1.591     0.815     0.686
     0.419     0.626     0.330
     1.005     0.536     0.726
     1.841     1.139     0.403
     1.179    -1.030     0.475
     1.160     0.655     0.727
    -0.350     0.487    -0.303
     1.912    -1.126     0.405
    -0.950    -0.879    -0.519
     1.778    -1.802    -0.225
     0.037    -0.284     0.036
     0.379    -1.643    -0.027
     1.439     0.290     0.950
    -0.718     0.322    -0.624
     1.046    -0.843     0.576
    -0.557     1.864     0.153
    -1.813     1.518    -0.051
     1.940    -0.700     0.713
    -0.760    -0.856    -0.451
     0.349     0.672     0.268
    -1.051    -1.793     0.191
     0.839    -1.769    -0.146
     1.076    -0.293     0.843
     0.302    -0.897     0.186
    -0.516     0.959    -0.284
     0.392     0.294     0.366
     1.053     0.927     0.522
     1.506     0.261     0.964
    -1.229     1.237    -0.309
     0.757    -0.237     0.668
    -1.649     1.002    -0.537
    -1.522    -1.870     0.294
     1.662     1.690    -0.119
     1.640     1.518     0.052
    -0.050    -0.617    -0.041
     0.428    -1.873    -0.124
     0.251     1.059     0.121
    -1.314    -0.782    -0.686
     1.058    -1.461     0.095
     0.151     0.052     0.150
     0.164    -1.173     0.063
    -0.474    -1.881     0.140
    -1.941     1.288    -0.261
    -0.913     0.362    -0.740
    -0.866    -0.091    -0.758
    -1.286     1.502    -0.066
     0.308     1.528     0.013
    -1.226    -1.257    -0.291
    -1.482    -0.391    -0.921
     0.527    -1.754    -0.092
    -1.757    -1.707     0.133
    -0.913     1.216    -0.275
     1.741     0.836     0.661
     0.053     0.576     0.045
    -1.777    -0.305    -0.934
    -0.665    -0.630    -0.499
    -1.788     1.194    -0.360
     0.034    -0.417     0.031
    -0.773     0.080    -0.696
    -0.146    -0.639    -0.117
    -1.398     1.147    -0.405
    -0.166     0.946    -0.097
    -0.061     1.668     0.006
     1.900    -0.142     0.937
    -0.424     0.900    -0.256
    -1.425    -1.757     0.183
     0.191    -0.805     0.131
     0.378    -0.678     0.288
     1.846    -1.574    -0.003
    -0.749    -0.210    -0.666
     1.580    -0.656     0.792
    -0.837     0.542    -0.636
    -1.413     0.993    -0.540
     1.211     1.310     0.241
    -0.676     0.934    -0.372
     1.660     0.195     0.977
    -1.375    -0.017    -0.981
    -1.214     1.356    -0.200
     0.084     1.575    -0.000
     1.563    -0.310     0.952
    -0.802     1.114    -0.317
     1.569    -0.887     0.632
    -0.917     1.111    -0.352
     1.737    -0.109     0.980
    -0.800    -0.880    -0.457
     0.888    -1.481     0.070
     1.738     1.145     0.407
    -0.699     0.705    -0.490
     0.657    -0.424     0.557
     0.324    -1.625    -0.017
    -1.798     0.356    -0.913
     0.152     1.713    -0.021
    -0.369    -1.779     0.075
     0.029     1.274     0.008
    -0.887     1.309    -0.200
